volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,author,title,genretags
uc1.b3324205,1906,1913,1867,1906,m,uk,132533,0.485924348254,0,"Cullum, Ridgwell,",The night-riders;,teamblack | random
uc2.ark+=13960=t0xp6w75n,1912,1912,1878,1912,m,us,12097,0.513613426948,0,"Rose, William Ganson,",Putting Marshville on the,teamblack | random
uc2.ark+=13960=t9t14vb5t,1874,1874,1819,1874,m,us,80160,0.438532126082,1,"Pinkerton, Allan,",The expressman and the de,teamred | locdetective | stew
uc2.ark+=13960=t8df6mw4h,1850,1850,1809,1850,m,us,130449,0.52153176108,0,"Arthur, T. S.",Tales of domestic life,teamblack | random
vergacastleoftrezza,1877,1909,1840,1877,m,it,13684,0.600009408023,1,"Verga, Giovanni,",The Castle of Trezza,stew | teamblack | lockandkey
22054,1983,1983,1926,1983,m,us,52135,0.431757083171,0,"Coldsmith, Don,",Follow the wind,chirandom | teamblack
23507,1962,1962,1894,1962,m,uk,109061,0.475778084963,1,"Huxley, Aldous,",Island,chiutopia | stew | chiscifi | teamred
22723,1987,1987,1933,1987,m,us,70129,0.490428174552,0,"Logue, John,",Boats against the current,chirandom | teamblack
hvd.hwjme4,1837,1843,1812,1837,m,uk,200553,0.496603553521,1,"Dickens, Charles,",Oliver Twist,stew | newgate | teamblack
uiuo.ark+=13960=t2s475w45,1851,1851,1801,1851,m,uk,84159,0.478514679048,0,"MacCabe, William Bernard,",Bertha,teamred | random
22193,1984,1984,1948,1984,m,us,79174,0.739684042764,1,"Gibson, William",Neuromancer,teamred | pbgothic | chiscifi | stew
